Province,Area
Badajoz ,21766
Cáceres ,19868
Ciudad Real ,19813
Zaragoza ,17274
Cuenca ,17140
Huesca ,15636
León ,15581
Toledo ,15370
Albacete ,14926
Teruel ,14810
Burgos ,14292
Seville ,14036
Córdoba ,13771
Jaén ,13496
Granada ,12647
Salamanca ,12350
Guadalajara ,12214
Lleida ,12173
Murcia ,11313
València ,10806
Asturias ,10604
Zamora ,10561
Navarre ,10391
Soria ,10306
Huelva ,10128
Lugo ,9856
Almería ,8775
Valladolid ,8110
Palencia ,8052
Ávila ,8050
Madrid ,8028
A Coruña ,7950
Barcelona ,7728
Cádiz ,7436
Málaga ,7308
Ourense ,7273
Segovia ,6921
Castelló ,6632
Tarragona ,6303
Girona ,5910
Alacant ,5817
Cantabria ,5321
La Rioja ,5045
Balearic Islands ,4992
Pontevedra ,4495
Las Palmas ,4066
Santa Cruz de Tenerife ,3381
Álava ,3037
Biscay ,2217
Gipuzkoa ,1909
Melilla ,28
Ceuta ,20
