Province ,Population 
Madrid ,6495551
Barcelona ,5540925
Valencia ,2566474
Alicante ,1945642
Sevilla ,1942115
Málaga ,1652999
Murcia ,1472049
Cádiz ,1238492
Biscay ,1156447
La Coruña ,1138161
Balearic Islands ,1111674
Las Palmas ,1103850
Asturias ,1068165
Santa Cruz de Tenerife ,1014829
Zaragoza ,978638
Pontevedra ,955050
Granada ,919319
Tarragona ,810178
Córdoba ,802422
Girona ,761632
Gipuzkoa ,713818
Toledo ,706407
Almería ,699329
Badajoz ,693729
Jaén ,664916
Navarre ,644447
Castellón ,601699
Cantabria ,591888
Valladolid ,532284
Ciudad Real ,524962
Huelva ,520668
León ,489752
Lleida ,440915
Cáceres ,410275
Albacete ,400007
Burgos ,371248
Lugo ,346005
Salamanca ,345548
Ourense ,326724
La Rioja ,322027
Álava ,321417
Guadalajara ,257723
Huesca ,226329
Cuenca ,211899
Zamora ,188270
Palencia ,168955
Ávila ,168825
Segovia ,161702
Teruel ,142183
Soria ,93291
Ceuta ,84180
Melilla ,83679
